HPB店舗名,院名,年月号,自社PV,エリア平均PV,自社CVR,エリア平均CVR,自社ACR,エリア平均ACR,新規予約数実績,女性率,20代未満比率,20代比率,30代比率,40代比率,50代以上比率
すまいる針灸接骨院 六甲道院,すまいる針灸接骨院 六甲道院,2026年08月号,570,1853,64.6,52.4,1.9,8.4,,50,0,50,0,25,25
すまいる針灸接骨院 甲南山手院,すまいる針灸接骨院 甲南山手院,2026年08月号,393,1853,77.9,52.4,2.0,8.4,,80,0,20,60,0,20
すまいる鍼灸接骨院 ながよし院,すまいる鍼灸接骨院 ながよし院,2026年08月号,487,1242,63.2,56.7,2.3,5.7,,60,0,20,60,0,20
やまもと鍼灸接骨院 さかいし院,やまもと鍼灸接骨院 さかいし院,2026年08月号,523,2368,60.0,50.4,1.6,7.9,,75,0,13,63,25,0
山本接骨院 なかもず院,山本接骨院 なかもず院,2026年08月号,576,2368,65.1,50.4,1.6,7.9,,71,29,29,0,14,29
