store_id,store_name,brand,gsc_property,2026-05,2026-06,2026-07,2026-08,status
chokuei-s-aja,新都心あじゃ接骨院,直営,https://aja.chiryouin.biz/,514,3660,848,813,done
chokuei-sakura,市川さくら整骨院,直営,https://curacion.jp/sakura/,448,921,576,452,done
chokuei-sakuraekimae,佐倉駅前整骨院,直営,https://sakuraekimae.chiryouin.biz/,214,510,397,389,done
chokuei-sakurayukarigaoka,佐倉ユーカリが丘接骨院,直営,https://yukarigaoka.chiryouin.biz/,45,168,140,531,done
chokuei-sapporo,札幌北円山接骨院,直営,https://kitamaruyama.chiryouin.biz/,126,418,434,349,done
chokuei-sapporokotoni,札幌琴似本通り接骨院,直営,https://curacion.jp/kotonihondori/,102,408,311,348,done
chokuei-s-asaka,朝霞駅南口接骨院,直営,https://curacion.jp/asaka/,140,435,477,369,done
chokuei-sayamagaoka,狭山ヶ丘駅前接骨院,直営,https://sayamagaoka.chiryouin.biz/,要確認,要確認,要確認,要確認,partial
chokuei-sekiya,新潟関屋整骨院,直営,https://sekiya.chiryouin.biz/,41,88,122,154,done
chokuei-shiki,志木駅前接骨院,直営,https://shiki.chiryouin.biz/,117,295,423,290,done
chokuei-shimoakatsuka,下赤塚北口接骨院,直営,http://shimoakatsuka.chiryouin.biz/,1,15,7,19,done
chokuei-shimoigusa,下井草駅前接骨院,直営,https://shimoigusa.chiryouin.biz/,43,263,97,97,done
chokuei-shimosakitaguchi,下総中山駅北口整骨院,直営,https://curacion.jp/nakayamakita/,83,164,203,231,done
chokuei-shinbashi,新橋西口整骨院,直営,https://shinbashi.chiryou-in.biz/,2080,4260,3300,2300,done
chokuei-shindohigashi,新道東駅接骨院,直営,https://chiryouin.biz/shindohigashi/,16,45,90,80,done
chokuei-shinhamamatsu,新浜松駅前接骨院,直営,https://chiryouin.biz/shinhamamatsu/,32,129,163,155,done
chokuei-shinmatsudo,新松戸クラシオン整骨院,直営,https://shinmatsudo.chiryouin.biz/,176,549,522,778,done
chokuei-shinsayama,新狭山駅北口接骨院,直営,https://shinsayama.chiryouin.biz/,67,157,141,159,done
chokuei-shinshizuoka,新静岡駅前接骨院,直営,http://shizuoka.chiryouin.biz/,3,15,21,10,done
chokuei-shizu,佐倉志津整骨院,直営,https://shizu.chiryouin.biz/,49,963,920,270,done
chokuei-s-ichikawa,市川南口整骨院,直営,https://ichikawaminami.chiryouin.biz/,48,109,216,271,done
chokuei-s-kitakogane,北小金南口駅前接骨院,直営,https://curacion.jp/kitakogane/,270,249,260,271,done
chokuei-s-makuhari,幕張南口整骨院,直営,https://curacion.jp/makuhariminami/,76,526,320,335,done
chokuei-takada,クラシオン接骨院 MEGAドン・キホーテ長野高田院,直営,https://takada.chiryouin.biz/,161,300,294,284,done
chokuei-taniyon,谷町四丁目接骨院,直営,https://tanimachi.chiryou-in.biz/,2020,3400,2080,1720,done
chokuei-tateishiekimae,立石駅前通り整骨院,直営,http://tateishi.chiryouin.biz/,0,0,0,0,done
chokuei-teine,手稲駅北口接骨院,直営,https://teine.chiryouin.biz/,35,101,116,125,done
chokuei-tenjinbashi,天神橋三丁目接骨院,直営,https://tenjinbashi.chiryou-in.biz/,188,1010,842,966,done
chokuei-tennodai,天王台駅前整骨院,直営,http://tennodai.chiryouin.biz/,5,4,7,13,done
chokuei-teraohigashi,新潟寺尾東接骨院,直営,http://terao.chiryouin.biz/,要確認,20,22,20,partial
chokuei-toyoshiki,豊四季北口整骨院,直営,https://toyoshiki.chiryouin.biz/,574,2140,2910,1660,done
chokuei-toyoshikichuo,豊四季中央接骨院,直営,https://curacion.jp/toyoshiki/,189,413,522,396,done
chokuei-tsuga,都賀駅前整骨院,直営,http://tsuga.chiryouin.biz/,3,16,20,12,done
chokuei-umesato,梅郷山崎接骨院,直営,https://umesato.chiryouin.biz/,100,280,234,181,done
chokuei-urasoe,浦添宮城接骨院,直営,http://urasoe.chiryouin.biz/,1,8,20,15,done
chokuei-wakaba,わかば整骨院,直営,https://wakaba.chiryouin.biz/,111,184,180,163,done
chokuei-yachimata,八街駅前整骨院,直営,https://yachimata.chiryouin.biz/,57,288,336,367,done
chokuei-yawatajuku-n,八幡宿駅西口接骨院,直営,https://curacion.jp/yawatajuku/,47,127,173,127,done
chokuei-yotsukaido-k,四街道北口接骨院,直営,https://curacion.jp/yotsukaido/,113,357,269,206,done
sunsmirai-fukaebashi,たいよう鍼灸整骨院 深江橋院,サンズミライ,https://chiryou-in.biz/fukaebashi/,13,43,86,73,done
sunsmirai-hirakata-gotenyama,おかだ鍼灸整骨院 枚方御殿山院,サンズミライ,https://chiryou-in.biz/gotenyama/,344,747,797,2210,done
sunsmirai-hirakata-koen,たいよう鍼灸整骨院 枚方公園,サンズミライ,https://chiryou-in.biz/hirakatakoen/,8,45,89,89,done
sunsmirai-hirakata-nagao,あやめ鍼灸整骨院 枚方長尾院,サンズミライ,https://chiryou-in.biz/nagao/,36,104,156,114,done
sunsmirai-hiramatsu-joto,ミライ接骨院 ヒラマツ城東店,サンズミライ,https://hiramatsu.chiryouin.biz/,7,99,693,494,done
sunsmirai-kawachi-iwafune,河内いわふね駅前整骨院,サンズミライ,https://chiryou-in.biz/iwafune/,12,38,77,82,done
sunsmirai-matsuiyamate,たいよう鍼灸整骨院 branch松井山手院,サンズミライ,https://chiryou-in.biz/matsuiyamate/,69,240,550,4700,done
sunsmirai-minami-ibaraki,たいよう鍼灸整骨院 南茨木院,サンズミライ,https://chiryou-in.biz/minamiibaraki/,13,134,125,93,done
sunsmirai-nishiotsu,弁慶はりきゅう整骨院 西大津院,サンズミライ,https://chiryou-in.biz/nishiotsu/,22,72,103,106,done
sunsmirai-otsu,弁慶はりきゅう整骨院 大津市整骨院,サンズミライ,https://chiryou-in.biz/otsu/,43,79,106,83,done
sunsmirai-otsu-ishiyama,弁慶はりきゅう整骨院 大津市石山整骨院,サンズミライ,https://chiryou-in.biz/ishiyama/,39,96,97,97,done
sunsmirai-sakai-mihara,堺市美原区整骨院,サンズミライ,https://chiryou-in.biz/mihara/,25,100,103,89,done
sunsmirai-shinobugaoka,忍ヶ丘駅前整骨院,サンズミライ,https://chiryou-in.biz/shinobugaoka/,11,41,59,55,done
sunsmirai-takatsuki,ひまわり鍼灸整骨院 高槻院,サンズミライ,https://chiryou-in.biz/takatsuki/,26,63,78,89,done
sunsmirai-tondabayashi-170,弁慶はりきゅう整骨院 富田林市旧170号線院,サンズミライ,https://chiryou-in.biz/tondabayashi/,35,117,113,94,done
sunsmirai-wakayama-arimoto,弁慶はりきゅう整骨院 和歌山市有本院,サンズミライ,https://chiryou-in.biz/arimoto/,59,236,362,207,done
sunsmirai-wakayama-higashiguchi,和歌山駅東口接骨院,サンズミライ,https://wakayama.chiryouin.biz/,94,298,440,340,done
chokuei-anegasaki,姉ヶ崎駅前接骨院,直営,https://chiryouin.biz/anegasaki/,18,53,64,48,done
